region,group_or_crop,year,Yield_t_ha,Area_ha,N_kg_ha,P2O5_kg_ha,K_kg_ha,Mineral_treated_share,Org_kg_ha_or_share,Irrig_m3_ha,Irrig_mm,Yield_t_ha_lag1,Area_ha_lag1,N_kg_ha_lag1,P2O5_kg_ha_lag1,K_kg_ha_lag1,Mineral_treated_share_lag1,Org_kg_ha_or_share_lag1,Irrig_m3_ha_lag1,Irrig_mm_lag1,Yield_t_ha_lag2,Area_ha_lag2,N_kg_ha_lag2,P2O5_kg_ha_lag2,K_kg_ha_lag2,Mineral_treated_share_lag2,Org_kg_ha_or_share_lag2,Irrig_m3_ha_lag2,Irrig_mm_lag2,Yield_t_ha_lag3,Area_ha_lag3,N_kg_ha_lag3,P2O5_kg_ha_lag3,K_kg_ha_lag3,Mineral_treated_share_lag3,Org_kg_ha_or_share_lag3,Irrig_m3_ha_lag3,Irrig_mm_lag3,ma5_Yield,ma5_N,ma5_P2O5,ma5_K,ma5_MineralShare,ma5_Org,ma5_Irrig_m3,ma5_Irrig_mm,Yield_anom
Черкаська область,Кукурудза,2010,5.720000000000001,216100.0,73.6,19.2,14.2,0.7653863951874132,0.008329477093937991,4.169446297531688,0.4169446297531688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Черкаська область,Кукурудза,2011,9.11,259899.99999999997,85.2,16.5,16.3,0.7995382839553675,0.0061562139284340135,4.97471188127021,0.49747118812702096,5.720000000000001,216100.0,73.6,19.2,14.2,0.7653863951874132,0.008329477093937991,4.169446297531688,0.4169446297531688,,,,,,,,,,,,,,,,,,,,,,,,,,,
Черкаська область,Кукурудза,2012,6.6,302000.0,96.3,19.9,18.8,0.83841059602649,0.005960264900662252,7.466401194624191,0.746640119462419,9.11,259899.99999999997,85.2,16.5,16.3,0.7995382839553675,0.0061562139284340135,4.97471188127021,0.49747118812702096,5.720000000000001,216100.0,73.6,19.2,14.2,0.7653863951874132,0.008329477093937991,4.169446297531688,0.4169446297531688,,,,,,,,,,,,,,,,,,
Черкаська область,Кукурудза,2013,7.840000000000001,339400.0,91.7,22.3,20.0,0.8223335297583971,0.004714201532115498,7.4812967581047385,0.7481296758104738,6.6,302000.0,96.3,19.9,18.8,0.83841059602649,0.005960264900662252,7.466401194624191,0.746640119462419,9.11,259899.99999999997,85.2,16.5,16.3,0.7995382839553675,0.0061562139284340135,4.97471188127021,0.49747118812702096,5.720000000000001,216100.0,73.6,19.2,14.2,0.7653863951874132,0.008329477093937991,4.169446297531688,0.4169446297531688,,,,,,,,,
Черкаська область,Кукурудза,2014,7.0200000000000005,325800.0,88.5,20.0,17.6,0.8001841620626151,0.0055248618784530384,8.330556481172943,0.8330556481172943,7.840000000000001,339400.0,91.7,22.3,20.0,0.8223335297583971,0.004714201532115498,7.4812967581047385,0.7481296758104738,6.6,302000.0,96.3,19.9,18.8,0.83841059602649,0.005960264900662252,7.466401194624191,0.746640119462419,9.11,259899.99999999997,85.2,16.5,16.3,0.7995382839553675,0.0061562139284340135,4.97471188127021,0.49747118812702096,,,,,,,,,
Черкаська область,Кукурудза,2015,7.109999999999999,296400.0,86.6,16.1,17.3,0.7634952766531714,0.005735492577597841,9.16208562385474,0.916208562385474,7.0200000000000005,325800.0,88.5,20.0,17.6,0.8001841620626151,0.0055248618784530384,8.330556481172943,0.8330556481172943,7.840000000000001,339400.0,91.7,22.3,20.0,0.8223335297583971,0.004714201532115498,7.4812967581047385,0.7481296758104738,6.6,302000.0,96.3,19.9,18.8,0.83841059602649,0.005960264900662252,7.466401194624191,0.746640119462419,7.258,87.06,19.580000000000002,17.380000000000003,0.8051705933980566,0.006137003866720558,6.484482522540754,0.6484482522540753,-0.14800000000000058
Черкаська область,Кукурудза,2016,7.55,330500.0,88.9,18.4,15.8,0.7924357034795763,0.0045385779122541605,8.368901163277261,0.8368901163277261,7.109999999999999,296400.0,86.6,16.1,17.3,0.7634952766531714,0.005735492577597841,9.16208562385474,0.916208562385474,7.0200000000000005,325800.0,88.5,20.0,17.6,0.8001841620626151,0.0055248618784530384,8.330556481172943,0.8330556481172943,7.840000000000001,339400.0,91.7,22.3,20.0,0.8223335297583971,0.004714201532115498,7.4812967581047385,0.7481296758104738,7.536,89.66,18.96,18.0,0.8047923696912083,0.005618206963452528,7.483010387805365,0.7483010387805364,0.014000000000000234
Черкаська область,Кукурудза,2017,5.49,348800.0,95.1,23.2,20.7,0.7970183486238532,0.0037270642201834864,15.143866733972741,1.5143866733972742,7.55,330500.0,88.9,18.4,15.8,0.7924357034795763,0.0045385779122541605,8.368901163277261,0.8368901163277261,7.109999999999999,296400.0,86.6,16.1,17.3,0.7634952766531714,0.005735492577597841,9.16208562385474,0.916208562385474,7.0200000000000005,325800.0,88.5,20.0,17.6,0.8001841620626151,0.0055248618784530384,8.330556481172943,0.8330556481172943,7.224000000000001,90.4,19.339999999999996,17.9,0.8033718535960499,0.005294679760216558,8.161848244206775,0.8161848244206775,-1.7340000000000009
Черкаська область,Кукурудза,2018,9.24,364100.0,111.7,23.3,21.0,0.7607800054929964,0.0035704476792090085,19.36515955207544,1.936515955207544,5.49,348800.0,95.1,23.2,20.7,0.7970183486238532,0.0037270642201834864,15.143866733972741,1.5143866733972742,7.55,330500.0,88.9,18.4,15.8,0.7924357034795763,0.0045385779122541605,8.368901163277261,0.8368901163277261,7.109999999999999,296400.0,86.6,16.1,17.3,0.7634952766531714,0.005735492577597841,9.16208562385474,0.916208562385474,7.002,90.16,20.0,18.28,0.7950934041155227,0.004848039624120805,9.697341352076485,0.9697341352076485,2.2380000000000004
Черкаська область,Кукурудза,2019,7.7299999999999995,412900.0,98.0,21.0,20.1,0.7810607895374183,0.0033906514894647614,17.37403822288409,1.737403822288409,9.24,364100.0,111.7,23.3,21.0,0.7607800054929964,0.0035704476792090085,19.36515955207544,1.936515955207544,5.49,348800.0,95.1,23.2,20.7,0.7970183486238532,0.0037270642201834864,15.143866733972741,1.5143866733972742,7.55,330500.0,88.9,18.4,15.8,0.7924357034795763,0.0045385779122541605,8.368901163277261,0.8368901163277261,7.281999999999999,94.16,20.2,18.48,0.7827826992624425,0.004619288853539507,12.074113910870626,1.2074113910870625,0.4480000000000004
Черкаська область,Кукурудза,2020,3.71,444700.0,116.3,20.5,18.2,0.7726557229592984,0.00224870699347875,22.255192878338278,2.2255192878338277,7.7299999999999995,412900.0,98.0,21.0,20.1,0.7810607895374183,0.0033906514894647614,17.37403822288409,1.737403822288409,9.24,364100.0,111.7,23.3,21.0,0.7607800054929964,0.0035704476792090085,19.36515955207544,1.936515955207544,5.49,348800.0,95.1,23.2,20.7,0.7970183486238532,0.0037270642201834864,15.143866733972741,1.5143866733972742,7.4239999999999995,96.05999999999999,20.4,18.98,0.7789580247574032,0.004192446775741852,13.882810259212855,1.3882810259212852,-3.7139999999999995
Черкаська область,Кукурудза,2021,8.95,406100.0,103.4,19.6,18.0,0.7402117704998769,0.002462447672986949,14.908350305498981,1.490835030549898,3.71,444700.0,116.3,20.5,18.2,0.7726557229592984,0.00224870699347875,22.255192878338278,2.2255192878338277,7.7299999999999995,412900.0,98.0,21.0,20.1,0.7810607895374183,0.0033906514894647614,17.37403822288409,1.737403822288409,9.24,364100.0,111.7,23.3,21.0,0.7607800054929964,0.0035704476792090085,19.36515955207544,1.936515955207544,6.744,102.0,21.28,19.16,0.7807901140186286,0.0034950896589180333,16.501431710109564,1.6501431710109564,2.2059999999999995
