region,group_or_crop,year,Yield_t_ha,Area_ha,N_kg_ha,P2O5_kg_ha,K_kg_ha,Mineral_treated_share,Org_kg_ha_or_share,Irrig_m3_ha,Irrig_mm,Yield_t_ha_lag1,Area_ha_lag1,N_kg_ha_lag1,P2O5_kg_ha_lag1,K_kg_ha_lag1,Mineral_treated_share_lag1,Org_kg_ha_or_share_lag1,Irrig_m3_ha_lag1,Irrig_mm_lag1,Yield_t_ha_lag2,Area_ha_lag2,N_kg_ha_lag2,P2O5_kg_ha_lag2,K_kg_ha_lag2,Mineral_treated_share_lag2,Org_kg_ha_or_share_lag2,Irrig_m3_ha_lag2,Irrig_mm_lag2,Yield_t_ha_lag3,Area_ha_lag3,N_kg_ha_lag3,P2O5_kg_ha_lag3,K_kg_ha_lag3,Mineral_treated_share_lag3,Org_kg_ha_or_share_lag3,Irrig_m3_ha_lag3,Irrig_mm_lag3,ma5_Yield,ma5_N,ma5_P2O5,ma5_K,ma5_MineralShare,ma5_Org,ma5_Irrig_m3,ma5_Irrig_mm,Yield_anom
Полтавська область,Кукурудза,2010,4.38,377700.0,69.3,10.2,6.5,0.7302091607095579,0.0023828435266084196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Полтавська область,Кукурудза,2011,7.890000000000001,444200.0,68.7,10.0,7.4,0.7431337235479514,0.0013507429085997298,,,4.38,377700.0,69.3,10.2,6.5,0.7302091607095579,0.0023828435266084196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Полтавська область,Кукурудза,2012,4.720000000000001,539500.0,71.2,9.8,6.0,0.7579240037071362,0.0009267840593141798,,,7.890000000000001,444200.0,68.7,10.0,7.4,0.7431337235479514,0.0013507429085997298,,,4.38,377700.0,69.3,10.2,6.5,0.7302091607095579,0.0023828435266084196,,,,,,,,,,,,,,,,,,,,
Полтавська область,Кукурудза,2013,6.890000000000001,592700.0,78.1,12.2,11.7,0.7499578201450987,0.001181035937236376,,,4.720000000000001,539500.0,71.2,9.8,6.0,0.7579240037071362,0.0009267840593141798,,,7.890000000000001,444200.0,68.7,10.0,7.4,0.7431337235479514,0.0013507429085997298,,,4.38,377700.0,69.3,10.2,6.5,0.7302091607095579,0.0023828435266084196,,,,,,,,,,,
Полтавська область,Кукурудза,2014,5.8100000000000005,581800.0,77.7,11.2,8.2,0.7323822619456858,0.0012031625988312134,,,6.890000000000001,592700.0,78.1,12.2,11.7,0.7499578201450987,0.001181035937236376,,,4.720000000000001,539500.0,71.2,9.8,6.0,0.7579240037071362,0.0009267840593141798,,,7.890000000000001,444200.0,68.7,10.0,7.4,0.7431337235479514,0.0013507429085997298,,,,,,,,,,,
Полтавська область,Кукурудза,2015,7.3,498300.0,73.7,8.6,7.7,0.6973710616094722,0.0016054585591009432,0.5814629608093964,0.058146296080939644,5.8100000000000005,581800.0,77.7,11.2,8.2,0.7323822619456858,0.0012031625988312134,,,6.890000000000001,592700.0,78.1,12.2,11.7,0.7499578201450987,0.001181035937236376,,,4.720000000000001,539500.0,71.2,9.8,6.0,0.7579240037071362,0.0009267840593141798,,,5.938000000000001,73.0,10.68,7.959999999999999,0.7427213940110861,0.0014089138061179837,,,1.3619999999999992
Полтавська область,Кукурудза,2016,7.74,543800.0,85.7,11.4,10.9,0.7526664214784847,0.0012872379551305626,1.7445917655268668,0.17445917655268667,7.3,498300.0,73.7,8.6,7.7,0.6973710616094722,0.0016054585591009432,0.5814629608093964,0.058146296080939644,5.8100000000000005,581800.0,77.7,11.2,8.2,0.7323822619456858,0.0012031625988312134,,,6.890000000000001,592700.0,78.1,12.2,11.7,0.7499578201450987,0.001181035937236376,,,6.522,73.88,10.360000000000001,8.2,0.7361537741910688,0.0012534368126164886,,,1.218
Полтавська область,Кукурудза,2017,5.04,575000.0,89.8,16.4,12.8,0.7633043478260869,0.001217391304347826,4.060324825986079,0.4060324825986079,7.74,543800.0,85.7,11.4,10.9,0.7526664214784847,0.0012872379551305626,1.7445917655268668,0.17445917655268667,7.3,498300.0,73.7,8.6,7.7,0.6973710616094722,0.0016054585591009432,0.5814629608093964,0.058146296080939644,5.8100000000000005,581800.0,77.7,11.2,8.2,0.7323822619456858,0.0012031625988312134,,,6.492,77.28,10.639999999999999,8.9,0.7380603137771755,0.0012407358219226551,,,-1.452
Полтавська область,Кукурудза,2018,8.22,599400.0,89.4,16.2,12.4,0.691358024691358,0.0015015015015015015,3.4904013961605584,0.34904013961605584,5.04,575000.0,89.8,16.4,12.8,0.7633043478260869,0.001217391304347826,4.060324825986079,0.4060324825986079,7.74,543800.0,85.7,11.4,10.9,0.7526664214784847,0.0012872379551305626,1.7445917655268668,0.17445917655268667,7.3,498300.0,73.7,8.6,7.7,0.6973710616094722,0.0016054585591009432,0.5814629608093964,0.058146296080939644,6.556,81.0,11.959999999999999,10.26,0.7391363826009656,0.0012988572709293842,,,1.6640000000000006
Полтавська область,Кукурудза,2019,6.9799999999999995,661700.0,88.7,14.3,11.1,0.7380988363306634,0.0010578812150521385,4.0607959159995355,0.40607959159995355,8.22,599400.0,89.4,16.2,12.4,0.691358024691358,0.0015015015015015015,3.4904013961605584,0.34904013961605584,5.04,575000.0,89.8,16.4,12.8,0.7633043478260869,0.001217391304347826,4.060324825986079,0.4060324825986079,7.74,543800.0,85.7,11.4,10.9,0.7526664214784847,0.0012872379551305626,1.7445917655268668,0.17445917655268667,6.822,83.26,12.76,10.4,0.7274164235102175,0.0013629503837824094,,,0.15799999999999947
Полтавська область,Кукурудза,2020,5.4799999999999995,666000.0,98.1,17.5,13.4,0.7268768768768769,0.001051051051051051,4.6298975635164075,0.46298975635164075,6.9799999999999995,661700.0,88.7,14.3,11.1,0.7380988363306634,0.0010578812150521385,4.0607959159995355,0.40607959159995355,8.22,599400.0,89.4,16.2,12.4,0.691358024691358,0.0015015015015015015,3.4904013961605584,0.34904013961605584,5.04,575000.0,89.8,16.4,12.8,0.7633043478260869,0.001217391304347826,4.060324825986079,0.4060324825986079,7.056,85.46000000000001,13.38,10.98,0.728559738387213,0.0013338941070265944,2.787515372896487,0.2787515372896487,-1.5760000000000005
Полтавська область,Кукурудза,2021,6.790000000000001,642800.0,99.2,15.4,13.4,0.7327317983820784,0.0010889856876166771,6.030670265923841,0.6030670265923841,5.4799999999999995,666000.0,98.1,17.5,13.4,0.7268768768768769,0.001051051051051051,4.6298975635164075,0.46298975635164075,6.9799999999999995,661700.0,88.7,14.3,11.1,0.7380988363306634,0.0010578812150521385,4.0607959159995355,0.40607959159995355,8.22,599400.0,89.4,16.2,12.4,0.691358024691358,0.0015015015015015015,3.4904013961605584,0.34904013961605584,6.692,90.34,15.16,12.120000000000001,0.734460901440694,0.001223012605416616,3.5972022934378893,0.35972022934378894,0.09800000000000075
Полтавська область,Кукурудза,2022,7.24,495500.0,70.0,12.1,9.9,0.7083753784056509,0.0010090817356205853,3.2934650719362106,0.3293465071936211,6.790000000000001,642800.0,99.2,15.4,13.4,0.7327317983820784,0.0010889856876166771,6.030670265923841,0.6030670265923841,5.4799999999999995,666000.0,98.1,17.5,13.4,0.7268768768768769,0.001051051051051051,4.6298975635164075,0.46298975635164075,6.9799999999999995,661700.0,88.7,14.3,11.1,0.7380988363306634,0.0010578812150521385,4.0607959159995355,0.40607959159995355,6.502,93.03999999999999,15.960000000000003,12.620000000000001,0.7304739768214127,0.001183362151913839,4.454417993517284,0.4454417993517284,0.7380000000000004
Полтавська область,Кукурудза,2023,7.790000000000001,478000.0,58.9,4.3,3.8,0.6336820083682009,0.0010460251046025104,3.860336483060613,0.3860336483060613,7.24,495500.0,70.0,12.1,9.9,0.7083753784056509,0.0010090817356205853,3.2934650719362106,0.3293465071936211,6.790000000000001,642800.0,99.2,15.4,13.4,0.7327317983820784,0.0010889856876166771,6.030670265923841,0.6030670265923841,5.4799999999999995,666000.0,98.1,17.5,13.4,0.7268768768768769,0.001051051051051051,4.6298975635164075,0.46298975635164075,6.942,89.08000000000001,15.1,12.04,0.7194881829373255,0.0011417002381683907,4.301046042707311,0.430104604270731,0.8480000000000008
Полтавська область,Кукурудза,2024,5.71,450000.0,67.9,7.4,7.7,0.5622222222222222,0.0017777777777777779,7.432588153952524,0.7432588153952524,7.790000000000001,478000.0,58.9,4.3,3.8,0.6336820083682009,0.0010460251046025104,3.860336483060613,0.3860336483060613,7.24,495500.0,70.0,12.1,9.9,0.7083753784056509,0.0010090817356205853,3.2934650719362106,0.3293465071936211,6.790000000000001,642800.0,99.2,15.4,13.4,0.7327317983820784,0.0010889856876166771,6.030670265923841,0.6030670265923841,6.856,82.97999999999999,12.719999999999999,10.32,0.7079529796726941,0.0010506049587885925,4.375033060087322,0.4375033060087322,-1.146
Полтавська область,Пшениця,2010,2.6100000000000003,260500.0,61.4,8.7,5.9,0.6667946257197697,0.007677543186180422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Полтавська область,Пшениця,2011,3.4,305000.0,62.2,9.6,7.2,0.72,0.0042622950819672135,,,2.6100000000000003,260500.0,61.4,8.7,5.9,0.6667946257197697,0.007677543186180422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
