region,group_or_crop,year,Yield_t_ha,Area_ha,N_kg_ha,P2O5_kg_ha,K_kg_ha,Mineral_treated_share,Org_kg_ha_or_share,Irrig_m3_ha,Irrig_mm,Yield_t_ha_lag1,Area_ha_lag1,N_kg_ha_lag1,P2O5_kg_ha_lag1,K_kg_ha_lag1,Mineral_treated_share_lag1,Org_kg_ha_or_share_lag1,Irrig_m3_ha_lag1,Irrig_mm_lag1,Yield_t_ha_lag2,Area_ha_lag2,N_kg_ha_lag2,P2O5_kg_ha_lag2,K_kg_ha_lag2,Mineral_treated_share_lag2,Org_kg_ha_or_share_lag2,Irrig_m3_ha_lag2,Irrig_mm_lag2,Yield_t_ha_lag3,Area_ha_lag3,N_kg_ha_lag3,P2O5_kg_ha_lag3,K_kg_ha_lag3,Mineral_treated_share_lag3,Org_kg_ha_or_share_lag3,Irrig_m3_ha_lag3,Irrig_mm_lag3,ma5_Yield,ma5_N,ma5_P2O5,ma5_K,ma5_MineralShare,ma5_Org,ma5_Irrig_m3,ma5_Irrig_mm,Yield_anom
Україна,Кукурудза,2010,4.51,2647600.0,69.2,12.5,10.4,0.6195799969783955,0.0002643903912977791,51.09177596794242,5.109177596794241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Україна,Кукурудза,2011,6.44,3543700.0,69.0,12.7,11.2,0.6599599288878856,0.00016931455823009848,59.19661733615222,5.919661733615222,4.51,2647600.0,69.2,12.5,10.4,0.6195799969783955,0.0002643903912977791,51.09177596794242,5.109177596794241,,,,,,,,,,,,,,,,,,,,,,,,,,,
Україна,Кукурудза,2012,4.79,4371900.0,70.8,13.5,11.7,0.7004963517006336,0.00013724010155767515,63.270420330329145,6.327042033032915,6.44,3543700.0,69.0,12.7,11.2,0.6599599288878856,0.00016931455823009848,59.19661733615222,5.919661733615222,4.51,2647600.0,69.2,12.5,10.4,0.6195799969783955,0.0002643903912977791,51.09177596794242,5.109177596794241,,,,,,,,,,,,,,,,,,
Україна,Кукурудза,2013,6.409999999999999,4826900.0,84.1,15.8,16.1,0.7075555739708715,0.00014502061364436803,62.47948016790107,6.247948016790107,4.79,4371900.0,70.8,13.5,11.7,0.7004963517006336,0.00013724010155767515,63.270420330329145,6.327042033032915,6.44,3543700.0,69.0,12.7,11.2,0.6599599288878856,0.00016931455823009848,59.19661733615222,5.919661733615222,4.51,2647600.0,69.2,12.5,10.4,0.6195799969783955,0.0002643903912977791,51.09177596794242,5.109177596794241,,,,,,,,,
Україна,Кукурудза,2014,6.16,4626900.0,83.7,15.4,13.9,0.6934016296008126,0.00015128920011238625,44.71513375992599,4.471513375992599,6.409999999999999,4826900.0,84.1,15.8,16.1,0.7075555739708715,0.00014502061364436803,62.47948016790107,6.247948016790107,4.79,4371900.0,70.8,13.5,11.7,0.7004963517006336,0.00013724010155767515,63.270420330329145,6.327042033032915,6.44,3543700.0,69.0,12.7,11.2,0.6599599288878856,0.00016931455823009848,59.19661733615222,5.919661733615222,,,,,,,,,
Україна,Кукурудза,2015,5.71,4083500.0,84.0,14.2,13.8,0.6699400024488796,0.0001959103710052651,45.982051536252165,4.598205153625217,6.16,4626900.0,83.7,15.4,13.9,0.6934016296008126,0.00015128920011238625,44.71513375992599,4.471513375992599,6.409999999999999,4826900.0,84.1,15.8,16.1,0.7075555739708715,0.00014502061364436803,62.47948016790107,6.247948016790107,4.79,4371900.0,70.8,13.5,11.7,0.7004963517006336,0.00013724010155767515,63.270420330329145,6.327042033032915,5.662,75.36,13.98,12.66,0.6761986962277198,0.0001734509729684614,56.150685512450174,5.615068551245017,0.04800000000000004
Україна,Кукурудза,2016,6.6,4252200.0,97.2,17.8,15.0,0.6929119044259442,0.00016462066694887352,44.808702730703764,4.480870273070376,5.71,4083500.0,84.0,14.2,13.8,0.6699400024488796,0.0001959103710052651,45.982051536252165,4.598205153625217,6.16,4626900.0,83.7,15.4,13.9,0.6934016296008126,0.00015128920011238625,44.71513375992599,4.471513375992599,6.409999999999999,4826900.0,84.1,15.8,16.1,0.7075555739708715,0.00014502061364436803,62.47948016790107,6.247948016790107,5.901999999999999,78.32000000000001,14.319999999999999,13.34,0.6862706973218167,0.0001597549689099586,55.12874062611212,5.512874062611212,0.6980000000000004
Україна,Кукурудза,2017,5.51,4480700.0,102.0,21.9,19.1,0.699667462673243,0.0001562255897516013,56.15330163106672,5.615330163106671,6.6,4252200.0,97.2,17.8,15.0,0.6929119044259442,0.00016462066694887352,44.808702730703764,4.480870273070376,5.71,4083500.0,84.0,14.2,13.8,0.6699400024488796,0.0001959103710052651,45.982051536252165,4.598205153625217,6.16,4626900.0,83.7,15.4,13.9,0.6934016296008126,0.00015128920011238625,44.71513375992599,4.471513375992599,5.934,83.96000000000001,15.339999999999998,14.1,0.6928610924294283,0.0001588161906537136,52.251157705022436,5.225115770502242,-0.4240000000000004
Україна,Кукурудза,2018,7.840000000000001,4564200.0,104.9,23.0,19.2,0.6802944656237676,0.0001752771570045134,57.43827253980164,5.743827253980164,5.51,4480700.0,102.0,21.9,19.1,0.699667462673243,0.0001562255897516013,56.15330163106672,5.615330163106671,6.6,4252200.0,97.2,17.8,15.0,0.6929119044259442,0.00016462066694887352,44.808702730703764,4.480870273070376,5.71,4083500.0,84.0,14.2,13.8,0.6699400024488796,0.0001959103710052651,45.982051536252165,4.598205153625217,6.078,90.2,17.02,15.580000000000002,0.6926953146239503,0.00016261328829249885,50.82773396516994,5.082773396516994,1.7620000000000005
Україна,Кукурудза,2019,7.19,4986900.0,103.8,22.3,19.0,0.695903266558383,0.0001604203011891155,47.96291363236359,4.796291363236358,7.840000000000001,4564200.0,104.9,23.0,19.2,0.6802944656237676,0.0001752771570045134,57.43827253980164,5.743827253980164,5.51,4480700.0,102.0,21.9,19.1,0.699667462673243,0.0001562255897516013,56.15330163106672,5.615330163106671,6.6,4252200.0,97.2,17.8,15.0,0.6929119044259442,0.00016462066694887352,44.808702730703764,4.480870273070376,6.364,94.35999999999999,18.46,16.2,0.6872430929545293,0.0001686645969645279,49.819492439550054,4.981949243955006,0.8260000000000005
