region,group_or_crop,year,Yield_t_ha,Area_ha,N_kg_ha,P2O5_kg_ha,K_kg_ha,Mineral_treated_share,Org_kg_ha_or_share,Irrig_m3_ha,Irrig_mm,Yield_t_ha_lag1,Area_ha_lag1,N_kg_ha_lag1,P2O5_kg_ha_lag1,K_kg_ha_lag1,Mineral_treated_share_lag1,Org_kg_ha_or_share_lag1,Irrig_m3_ha_lag1,Irrig_mm_lag1,Yield_t_ha_lag2,Area_ha_lag2,N_kg_ha_lag2,P2O5_kg_ha_lag2,K_kg_ha_lag2,Mineral_treated_share_lag2,Org_kg_ha_or_share_lag2,Irrig_m3_ha_lag2,Irrig_mm_lag2,Yield_t_ha_lag3,Area_ha_lag3,N_kg_ha_lag3,P2O5_kg_ha_lag3,K_kg_ha_lag3,Mineral_treated_share_lag3,Org_kg_ha_or_share_lag3,Irrig_m3_ha_lag3,Irrig_mm_lag3,ma5_Yield,ma5_N,ma5_P2O5,ma5_K,ma5_MineralShare,ma5_Org,ma5_Irrig_m3,ma5_Irrig_mm,Yield_anom
Вінницька область,Кукурудза,2010,6.5,189300.0,72.5,8.9,7.7,0.6703645007923931,0.001584786053882726,0.6479201762342879,0.06479201762342879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вінницька область,Кукурудза,2011,7.49,253500.0,89.4,13.9,13.8,0.757396449704142,0.001183431952662722,1.2536826929104243,0.12536826929104244,6.5,189300.0,72.5,8.9,7.7,0.6703645007923931,0.001584786053882726,0.6479201762342879,0.06479201762342879,,,,,,,,,,,,,,,,,,,,,,,,,,,
Вінницька область,Кукурудза,2012,5.85,286000.0,90.2,14.8,14.0,0.7891608391608391,0.0017482517482517483,1.239771881973717,0.12397718819737169,7.49,253500.0,89.4,13.9,13.8,0.757396449704142,0.001183431952662722,1.2536826929104243,0.12536826929104244,6.5,189300.0,72.5,8.9,7.7,0.6703645007923931,0.001584786053882726,0.6479201762342879,0.06479201762342879,,,,,,,,,,,,,,,,,,
Вінницька область,Кукурудза,2013,8.07,345300.0,98.3,14.3,14.4,0.7691862148856067,0.0011584129742253113,1.2330456226880395,0.12330456226880396,5.85,286000.0,90.2,14.8,14.0,0.7891608391608391,0.0017482517482517483,1.239771881973717,0.12397718819737169,7.49,253500.0,89.4,13.9,13.8,0.757396449704142,0.001183431952662722,1.2536826929104243,0.12536826929104244,6.5,189300.0,72.5,8.9,7.7,0.6703645007923931,0.001584786053882726,0.6479201762342879,0.06479201762342879,,,,,,,,,
Вінницька область,Кукурудза,2014,8.26,327100.0,99.0,14.7,12.3,0.7771323754203607,0.001528584530724549,1.8545994065281899,0.18545994065281898,8.07,345300.0,98.3,14.3,14.4,0.7691862148856067,0.0011584129742253113,1.2330456226880395,0.12330456226880396,5.85,286000.0,90.2,14.8,14.0,0.7891608391608391,0.0017482517482517483,1.239771881973717,0.12397718819737169,7.49,253500.0,89.4,13.9,13.8,0.757396449704142,0.001183431952662722,1.2536826929104243,0.12536826929104244,,,,,,,,,
Вінницька область,Кукурудза,2015,4.93,299800.0,92.2,14.2,12.7,0.7284856571047365,0.00066711140760507,2.4403636141785126,0.24403636141785126,8.26,327100.0,99.0,14.7,12.3,0.7771323754203607,0.001528584530724549,1.8545994065281899,0.18545994065281898,8.07,345300.0,98.3,14.3,14.4,0.7691862148856067,0.0011584129742253113,1.2330456226880395,0.12330456226880396,5.85,286000.0,90.2,14.8,14.0,0.7891608391608391,0.0017482517482517483,1.239771881973717,0.12397718819737169,7.234,89.88,13.319999999999999,12.440000000000001,0.7526480759926683,0.0014406934519494113,1.2458039560669316,0.12458039560669318,-2.3040000000000003
Вінницька область,Кукурудза,2016,8.47,303900.0,110.4,17.3,16.3,0.7722935176044752,0.0006581112207963146,2.435756911460236,0.24357569114602362,4.93,299800.0,92.2,14.2,12.7,0.7284856571047365,0.00066711140760507,2.4403636141785126,0.24403636141785126,8.26,327100.0,99.0,14.7,12.3,0.7771323754203607,0.001528584530724549,1.8545994065281899,0.18545994065281898,8.07,345300.0,98.3,14.3,14.4,0.7691862148856067,0.0011584129742253113,1.2330456226880395,0.12330456226880396,6.92,93.82000000000001,14.38,13.440000000000001,0.764272307255137,0.0012571585226938801,1.6042926436557767,0.16042926436557767,1.5500000000000007
Вінницька область,Кукурудза,2017,7.18,355800.0,119.3,22.6,16.1,0.7883642495784149,0.002529510961214165,2.442002442002442,0.24420024420024422,8.47,303900.0,110.4,17.3,16.3,0.7722935176044752,0.0006581112207963146,2.435756911460236,0.24357569114602362,4.93,299800.0,92.2,14.2,12.7,0.7284856571047365,0.00066711140760507,2.4403636141785126,0.24403636141785126,8.26,327100.0,99.0,14.7,12.3,0.7771323754203607,0.001528584530724549,1.8545994065281899,0.18545994065281898,7.116,98.02000000000001,15.059999999999999,13.940000000000001,0.7672517208352037,0.0011520943763205986,1.840707487365739,0.1840707487365739,0.06400000000000006
Вінницька область,Кукурудза,2018,9.9,378900.0,116.3,23.4,18.4,0.7432040116125627,0.0018474531538664556,1.846381093057607,0.1846381093057607,7.18,355800.0,119.3,22.6,16.1,0.7883642495784149,0.002529510961214165,2.442002442002442,0.24420024420024422,8.47,303900.0,110.4,17.3,16.3,0.7722935176044752,0.0006581112207963146,2.435756911460236,0.24357569114602362,4.93,299800.0,92.2,14.2,12.7,0.7284856571047365,0.00066711140760507,2.4403636141785126,0.24403636141785126,7.382,103.84,16.619999999999997,14.360000000000003,0.7670924029187187,0.001308346218913082,2.081153599371484,0.20811535993714841,2.5180000000000007
Вінницька область,Кукурудза,2019,8.67,412300.0,122.3,29.9,20.8,0.6786320640310454,0.00218287654620422,1.852881230313137,0.1852881230313137,9.9,378900.0,116.3,23.4,18.4,0.7432040116125627,0.0018474531538664556,1.846381093057607,0.1846381093057607,7.18,355800.0,119.3,22.6,16.1,0.7883642495784149,0.002529510961214165,2.442002442002442,0.24420024420024422,8.47,303900.0,110.4,17.3,16.3,0.7722935176044752,0.0006581112207963146,2.435756911460236,0.24357569114602362,7.748,107.44000000000001,18.44,15.160000000000002,0.7618959622641099,0.0014461542548413109,2.2038206934453974,0.22038206934453974,0.9219999999999997
