region_slug,region_label,threshold_margin,crop,crop_en,recommended_type,recommended_method,recommended_mae,best_ml_model,best_ml_mae,best_baseline,best_baseline_method,best_baseline_mae,ml_gain_vs_baseline,practical_margin,test_coverage,warning_label
cherkasy,Cherkasy,0.0,Кукурудза,maize,machine_learning,XGBoost,0.4852663930257159,XGBoost,0.4852663930257159,ARIMA,ARIMA,0.8153649340021906,0.3300985409764747,0.0,1.0,within expected error
cherkasy,Cherkasy,0.0,Соняшник,sunflower,machine_learning,ElasticNet,0.10777784891867581,ElasticNet,0.10777784891867581,ARIMA,ARIMA,0.1429213750791448,0.03514352616046898,0.0,1.0,within expected error
cherkasy,Cherkasy,0.0,Пшениця,wheat,machine_learning,LightGBM,0.4206270459751173,LightGBM,0.4206270459751173,FORECAST.LINEAR,FORECAST.LINEAR,0.5053890553890467,0.08476200941392936,0.0,0.6666666666666666,within expected error
cherkasy,Cherkasy,0.03,Кукурудза,maize,machine_learning,XGBoost,0.4852663930257159,XGBoost,0.4852663930257159,ARIMA,ARIMA,0.8153649340021906,0.3300985409764747,0.03,1.0,within expected error
cherkasy,Cherkasy,0.03,Соняшник,sunflower,machine_learning,ElasticNet,0.10777784891867581,ElasticNet,0.10777784891867581,ARIMA,ARIMA,0.1429213750791448,0.03514352616046898,0.03,1.0,within expected error
cherkasy,Cherkasy,0.03,Пшениця,wheat,machine_learning,LightGBM,0.4206270459751173,LightGBM,0.4206270459751173,FORECAST.LINEAR,FORECAST.LINEAR,0.5053890553890467,0.08476200941392936,0.03,0.6666666666666666,within expected error
cherkasy,Cherkasy,0.05,Кукурудза,maize,machine_learning,XGBoost,0.4852663930257159,XGBoost,0.4852663930257159,ARIMA,ARIMA,0.8153649340021906,0.3300985409764747,0.05,1.0,within expected error
cherkasy,Cherkasy,0.05,Соняшник,sunflower,baseline,ARIMA,0.1429213750791448,ElasticNet,0.10777784891867581,ARIMA,ARIMA,0.1429213750791448,0.03514352616046898,0.05,1.0,baseline safer
cherkasy,Cherkasy,0.05,Пшениця,wheat,machine_learning,LightGBM,0.4206270459751173,LightGBM,0.4206270459751173,FORECAST.LINEAR,FORECAST.LINEAR,0.5053890553890467,0.08476200941392936,0.05,0.6666666666666666,within expected error
cherkasy,Cherkasy,0.1,Кукурудза,maize,machine_learning,XGBoost,0.4852663930257159,XGBoost,0.4852663930257159,ARIMA,ARIMA,0.8153649340021906,0.3300985409764747,0.1,1.0,within expected error
cherkasy,Cherkasy,0.1,Соняшник,sunflower,baseline,ARIMA,0.1429213750791448,ElasticNet,0.10777784891867581,ARIMA,ARIMA,0.1429213750791448,0.03514352616046898,0.1,1.0,baseline safer
cherkasy,Cherkasy,0.1,Пшениця,wheat,baseline,FORECAST.LINEAR,0.5053890553890467,LightGBM,0.4206270459751173,FORECAST.LINEAR,FORECAST.LINEAR,0.5053890553890467,0.08476200941392936,0.1,0.6666666666666666,baseline safer
poltava,Poltava,0.0,Кукурудза,maize,machine_learning,LightGBM,0.6919988398727179,LightGBM,0.6919988398727179,FORECAST.LINEAR,FORECAST.LINEAR,0.8594327894327997,0.16743394956008173,0.0,0.3333333333333333,outside validation error scale
poltava,Poltava,0.0,Соняшник,sunflower,machine_learning,LightGBM,0.04133337195435294,LightGBM,0.04133337195435294,ARIMA,ARIMA,0.16869053444051696,0.12735716248616402,0.0,1.0,within expected error
poltava,Poltava,0.0,Пшениця,wheat,baseline,FORECAST.LINEAR,0.4899739149739135,ElasticNet,0.5392379021371627,FORECAST.LINEAR,FORECAST.LINEAR,0.4899739149739135,-0.0492639871632492,0.0,0.6666666666666666,baseline safer
poltava,Poltava,0.03,Кукурудза,maize,machine_learning,LightGBM,0.6919988398727179,LightGBM,0.6919988398727179,FORECAST.LINEAR,FORECAST.LINEAR,0.8594327894327997,0.16743394956008173,0.03,0.3333333333333333,outside validation error scale
poltava,Poltava,0.03,Соняшник,sunflower,machine_learning,LightGBM,0.04133337195435294,LightGBM,0.04133337195435294,ARIMA,ARIMA,0.16869053444051696,0.12735716248616402,0.03,1.0,within expected error
poltava,Poltava,0.03,Пшениця,wheat,baseline,FORECAST.LINEAR,0.4899739149739135,ElasticNet,0.5392379021371627,FORECAST.LINEAR,FORECAST.LINEAR,0.4899739149739135,-0.0492639871632492,0.03,0.6666666666666666,baseline safer
poltava,Poltava,0.05,Кукурудза,maize,machine_learning,LightGBM,0.6919988398727179,LightGBM,0.6919988398727179,FORECAST.LINEAR,FORECAST.LINEAR,0.8594327894327997,0.16743394956008173,0.05,0.3333333333333333,outside validation error scale
poltava,Poltava,0.05,Соняшник,sunflower,machine_learning,LightGBM,0.04133337195435294,LightGBM,0.04133337195435294,ARIMA,ARIMA,0.16869053444051696,0.12735716248616402,0.05,1.0,within expected error
poltava,Poltava,0.05,Пшениця,wheat,baseline,FORECAST.LINEAR,0.4899739149739135,ElasticNet,0.5392379021371627,FORECAST.LINEAR,FORECAST.LINEAR,0.4899739149739135,-0.0492639871632492,0.05,0.6666666666666666,baseline safer
poltava,Poltava,0.1,Кукурудза,maize,machine_learning,LightGBM,0.6919988398727179,LightGBM,0.6919988398727179,FORECAST.LINEAR,FORECAST.LINEAR,0.8594327894327997,0.16743394956008173,0.1,0.3333333333333333,outside validation error scale
poltava,Poltava,0.1,Соняшник,sunflower,machine_learning,LightGBM,0.04133337195435294,LightGBM,0.04133337195435294,ARIMA,ARIMA,0.16869053444051696,0.12735716248616402,0.1,1.0,within expected error
poltava,Poltava,0.1,Пшениця,wheat,baseline,FORECAST.LINEAR,0.4899739149739135,ElasticNet,0.5392379021371627,FORECAST.LINEAR,FORECAST.LINEAR,0.4899739149739135,-0.0492639871632492,0.1,0.6666666666666666,baseline safer
ukraine,Ukraine,0.0,Кукурудза,maize,machine_learning,ElasticNet,0.5510105677200992,ElasticNet,0.5510105677200992,ARIMA,ARIMA,0.6572813281193636,0.10627076039926442,0.0,0.6666666666666666,within expected error
ukraine,Ukraine,0.0,Соняшник,sunflower,baseline,ARIMA,0.11235746521065397,XGBoost,0.26101198832194017,ARIMA,ARIMA,0.11235746521065397,-0.14865452311128619,0.0,1.0,baseline safer
ukraine,Ukraine,0.0,Пшениця,wheat,baseline,FORECAST.LINEAR,0.2720784770784788,ElasticNet,0.5514741959908765,FORECAST.LINEAR,FORECAST.LINEAR,0.2720784770784788,-0.27939571891239773,0.0,0.6666666666666666,baseline safer
ukraine,Ukraine,0.03,Кукурудза,maize,machine_learning,ElasticNet,0.5510105677200992,ElasticNet,0.5510105677200992,ARIMA,ARIMA,0.6572813281193636,0.10627076039926442,0.03,0.6666666666666666,within expected error
ukraine,Ukraine,0.03,Соняшник,sunflower,baseline,ARIMA,0.11235746521065397,XGBoost,0.26101198832194017,ARIMA,ARIMA,0.11235746521065397,-0.14865452311128619,0.03,1.0,baseline safer
ukraine,Ukraine,0.03,Пшениця,wheat,baseline,FORECAST.LINEAR,0.2720784770784788,ElasticNet,0.5514741959908765,FORECAST.LINEAR,FORECAST.LINEAR,0.2720784770784788,-0.27939571891239773,0.03,0.6666666666666666,baseline safer
ukraine,Ukraine,0.05,Кукурудза,maize,machine_learning,ElasticNet,0.5510105677200992,ElasticNet,0.5510105677200992,ARIMA,ARIMA,0.6572813281193636,0.10627076039926442,0.05,0.6666666666666666,within expected error
ukraine,Ukraine,0.05,Соняшник,sunflower,baseline,ARIMA,0.11235746521065397,XGBoost,0.26101198832194017,ARIMA,ARIMA,0.11235746521065397,-0.14865452311128619,0.05,1.0,baseline safer
ukraine,Ukraine,0.05,Пшениця,wheat,baseline,FORECAST.LINEAR,0.2720784770784788,ElasticNet,0.5514741959908765,FORECAST.LINEAR,FORECAST.LINEAR,0.2720784770784788,-0.27939571891239773,0.05,0.6666666666666666,baseline safer
ukraine,Ukraine,0.1,Кукурудза,maize,machine_learning,ElasticNet,0.5510105677200992,ElasticNet,0.5510105677200992,ARIMA,ARIMA,0.6572813281193636,0.10627076039926442,0.1,0.6666666666666666,within expected error
ukraine,Ukraine,0.1,Соняшник,sunflower,baseline,ARIMA,0.11235746521065397,XGBoost,0.26101198832194017,ARIMA,ARIMA,0.11235746521065397,-0.14865452311128619,0.1,1.0,baseline safer
ukraine,Ukraine,0.1,Пшениця,wheat,baseline,FORECAST.LINEAR,0.2720784770784788,ElasticNet,0.5514741959908765,FORECAST.LINEAR,FORECAST.LINEAR,0.2720784770784788,-0.27939571891239773,0.1,0.6666666666666666,baseline safer
vinnytsia,Vinnytsia,0.0,Кукурудза,maize,machine_learning,XGBoost,0.5866868527730306,XGBoost,0.5866868527730306,ARIMA,ARIMA,1.060912697008676,0.4742258442356454,0.0,1.0,within expected error
vinnytsia,Vinnytsia,0.0,Соняшник,sunflower,machine_learning,LightGBM,0.3997118494328034,LightGBM,0.3997118494328034,ARIMA,ARIMA,0.4557452527632013,0.05603340333039791,0.0,0.6666666666666666,within expected error
vinnytsia,Vinnytsia,0.0,Пшениця,wheat,baseline,FORECAST.LINEAR,0.7240975690975736,ElasticNet,0.8954365647475667,FORECAST.LINEAR,FORECAST.LINEAR,0.7240975690975736,-0.1713389956499931,0.0,0.3333333333333333,baseline safer
vinnytsia,Vinnytsia,0.03,Кукурудза,maize,machine_learning,XGBoost,0.5866868527730306,XGBoost,0.5866868527730306,ARIMA,ARIMA,1.060912697008676,0.4742258442356454,0.03,1.0,within expected error
vinnytsia,Vinnytsia,0.03,Соняшник,sunflower,machine_learning,LightGBM,0.3997118494328034,LightGBM,0.3997118494328034,ARIMA,ARIMA,0.4557452527632013,0.05603340333039791,0.03,0.6666666666666666,within expected error
vinnytsia,Vinnytsia,0.03,Пшениця,wheat,baseline,FORECAST.LINEAR,0.7240975690975736,ElasticNet,0.8954365647475667,FORECAST.LINEAR,FORECAST.LINEAR,0.7240975690975736,-0.1713389956499931,0.03,0.3333333333333333,baseline safer
vinnytsia,Vinnytsia,0.05,Кукурудза,maize,machine_learning,XGBoost,0.5866868527730306,XGBoost,0.5866868527730306,ARIMA,ARIMA,1.060912697008676,0.4742258442356454,0.05,1.0,within expected error
vinnytsia,Vinnytsia,0.05,Соняшник,sunflower,machine_learning,LightGBM,0.3997118494328034,LightGBM,0.3997118494328034,ARIMA,ARIMA,0.4557452527632013,0.05603340333039791,0.05,0.6666666666666666,within expected error
vinnytsia,Vinnytsia,0.05,Пшениця,wheat,baseline,FORECAST.LINEAR,0.7240975690975736,ElasticNet,0.8954365647475667,FORECAST.LINEAR,FORECAST.LINEAR,0.7240975690975736,-0.1713389956499931,0.05,0.3333333333333333,baseline safer
vinnytsia,Vinnytsia,0.1,Кукурудза,maize,machine_learning,XGBoost,0.5866868527730306,XGBoost,0.5866868527730306,ARIMA,ARIMA,1.060912697008676,0.4742258442356454,0.1,1.0,within expected error
