year,crop,baseline,scenario,split,y_true,y_pred,mae,rmse,mape,order
2019,Пшениця,arima,trend,validation,4.8,4.29,0.5099999999999998,0.5099999999999998,10.624999999999996,"(0, 1, 0)"
2020,Пшениця,arima,trend,validation,4.4799999999999995,4.8,0.3200000000000003,0.3200000000000003,7.1428571428571495,"(0, 1, 0)"
2021,Пшениця,arima,trend,validation,4.83,4.4799999999999995,0.35000000000000053,0.35000000000000053,7.246376811594215,"(0, 1, 0)"
2022,Пшениця,arima,trend,test,4.13,4.83,0.7000000000000002,0.7000000000000002,16.949152542372886,"(0, 1, 0)"
2023,Пшениця,arima,trend,test,5.09,4.0616054353960305,1.0283945646039694,1.0283945646039694,20.204215414616293,"(0, 1, 2)"
2024,Пшениця,arima,trend,test,4.75,4.579975734220652,0.1700242657793476,0.1700242657793476,3.5794582269336335,"(1, 1, 0)"
2019,Кукурудза,arima,trend,validation,6.9799999999999995,5.409116164484995,1.570883835515004,1.570883835515004,22.505499076146194,"(2, 1, 0)"
2020,Кукурудза,arima,trend,validation,5.4799999999999995,7.102018666234705,1.6220186662347054,1.6220186662347054,29.598880770706305,"(0, 1, 2)"
2021,Кукурудза,arima,trend,validation,6.790000000000001,8.427502932092912,1.6375029320929109,1.6375029320929109,24.11639075247291,"(2, 1, 0)"
2022,Кукурудза,arima,trend,test,7.24,6.258186575024828,0.9818134249751722,0.9818134249751722,13.560958908496854,"(0, 1, 2)"
2023,Кукурудза,arima,trend,test,7.790000000000001,5.617491973485242,2.172508026514759,2.172508026514759,27.88842139300075,"(0, 1, 2)"
2024,Кукурудза,arima,trend,test,5.71,6.264510724882535,0.5545107248825349,0.5545107248825349,9.711221101270315,"(0, 1, 2)"
2019,Соняшник,arima,trend,validation,3.0300000000000002,2.546018177686712,0.4839818223132881,0.4839818223132881,15.972997436082114,"(1, 1, 0)"
2020,Соняшник,arima,trend,validation,2.54,3.0300000000000002,0.4900000000000002,0.4900000000000002,19.291338582677174,"(0, 1, 0)"
2021,Соняшник,arima,trend,validation,2.57,2.697714641044157,0.12771464104415697,0.12771464104415697,4.969441285764863,"(0, 1, 1)"
2022,Соняшник,arima,trend,test,2.81,2.64189619932156,0.16810380067843989,0.16810380067843989,5.982341661154445,"(0, 1, 1)"
2023,Соняшник,arima,trend,test,2.57,2.712948760470502,0.1429487604705022,0.1429487604705022,5.562208578618763,"(0, 1, 1)"
2024,Соняшник,arima,trend,test,2.46,2.6550190421726088,0.1950190421726088,0.1950190421726088,7.92760334034995,"(0, 1, 1)"
