scenario,model,crop,lag_config,mae,rmse,mape,n
in_season,elasticnet,Кукурудза,L1,1.0711211574203559,1.0711211574203559,15.637777081106504,3
in_season,elasticnet,Пшениця,L1,0.5986681426868604,0.5986681426868604,12.069957086359262,3
in_season,elasticnet,Соняшник,L1,0.1250671550671553,0.1250671550671553,4.652901044788378,3
in_season,lightgbm,Кукурудза,L1,1.9870388976399014,1.9870388976399014,28.77710516254329,3
in_season,lightgbm,Пшениця,L1,0.8143130601767061,0.8143130601767061,17.12443280858867,3
in_season,lightgbm,Соняшник,L1,0.1558759467136618,0.1558759467136618,5.970911343259384,3
in_season,xgboost,Кукурудза,L1,1.2501633389790856,1.2501633389790856,18.637835528022848,3
in_season,xgboost,Пшениця,L1,0.8796427917480468,0.8796427917480468,17.895472356487033,3
in_season,xgboost,Соняшник,L1,0.14352425893147794,0.14352425893147794,5.335493999326681,3
lag_only,elasticnet,Кукурудза,L1,1.2093839442059788,1.2093839442059788,18.082065948913932,3
lag_only,elasticnet,Пшениця,L1,0.5392379021371627,0.5392379021371627,11.217443367241735,3
lag_only,elasticnet,Соняшник,L1,0.5018303995787754,0.5018303995787754,18.85661181298766,3
lag_only,lightgbm,Кукурудза,L1,0.6919988398727179,0.6919988398727179,10.712269494784644,3
lag_only,lightgbm,Пшениця,L1,0.9058035413923138,0.9058035413923138,19.257707920812834,3
lag_only,lightgbm,Соняшник,L1,0.04133337195435294,0.04133337195435294,1.6143304385994763,3
lag_only,xgboost,Кукурудза,L1,1.0615028762817387,1.0615028762817387,15.802103190225345,3
lag_only,xgboost,Пшениця,L1,0.7516500854492186,0.7516500854492186,15.336762628897018,3
lag_only,xgboost,Соняшник,L1,0.08921433448791512,0.08921433448791512,3.3739960158235967,3
