crop,model,scenario,lag_config,feature_group,full_mae,ablated_mae,delta_mae,n
Кукурудза,xgboost,lag_only,L1,yield_history,0.4852663930257159,0.8632723744710283,0.37800598144531244,3
Кукурудза,xgboost,lag_only,L1,area,0.4852663930257159,0.5809237416585283,0.09565734863281244,3
Кукурудза,xgboost,lag_only,L1,fertiliser_n,0.4852663930257159,0.5824521636962888,0.09718577067057294,3
Кукурудза,xgboost,lag_only,L1,fertiliser_p,0.4852663930257159,0.5075338935852048,0.02226750055948895,3
Кукурудза,xgboost,lag_only,L1,fertiliser_k,0.4852663930257159,0.5816048240661619,0.09633843104044598,3
Кукурудза,xgboost,lag_only,L1,mineral_share,0.4852663930257159,0.35912190119425436,-0.12614449183146154,3
Кукурудза,xgboost,lag_only,L1,organics,0.4852663930257159,0.616327152252197,0.13106075922648114,3
Кукурудза,xgboost,lag_only,L1,irrigation,0.4852663930257159,0.5334136708577472,0.048147277832031266,3
Пшениця,lightgbm,lag_only,L1,yield_history,0.4206270459751173,0.5157996775739054,0.09517263159878814,3
Пшениця,lightgbm,lag_only,L1,area,0.4206270459751173,0.4465498471689866,0.025922801193869305,3
Пшениця,lightgbm,lag_only,L1,fertiliser_n,0.4206270459751173,0.3760857448083647,-0.04454130116675259,3
Пшениця,lightgbm,lag_only,L1,fertiliser_p,0.4206270459751173,0.4181357555216844,-0.0024912904534328817,3
Пшениця,lightgbm,lag_only,L1,fertiliser_k,0.4206270459751173,0.41149570895879933,-0.009131337016317964,3
Пшениця,lightgbm,lag_only,L1,mineral_share,0.4206270459751173,0.4117392087096918,-0.008887837265425524,3
Пшениця,lightgbm,lag_only,L1,organics,0.4206270459751173,0.5442623419982947,0.12363529602317741,3
Пшениця,lightgbm,lag_only,L1,irrigation,0.4206270459751173,0.6280661570409943,0.20743911106587704,3
Соняшник,elasticnet,lag_only,L1,yield_history,0.10777784891867581,0.10453765518797405,-0.0032401937307017653,3
Соняшник,elasticnet,lag_only,L1,area,0.10777784891867581,0.10777784875608232,-1.6259349422398373e-10,3
Соняшник,elasticnet,lag_only,L1,fertiliser_n,0.10777784891867581,0.10777784799052936,-9.281464485866309e-10,3
Соняшник,elasticnet,lag_only,L1,fertiliser_p,0.10777784891867581,0.10777783877594664,-1.0142729170437015e-08,3
Соняшник,elasticnet,lag_only,L1,fertiliser_k,0.10777784891867581,0.1077778075562447,-4.136243110519633e-08,3
Соняшник,elasticnet,lag_only,L1,mineral_share,0.10777784891867581,0.12201304410212425,0.014235195183448443,3
Соняшник,elasticnet,lag_only,L1,organics,0.10777784891867581,0.10777784891867581,0.0,3
Соняшник,elasticnet,lag_only,L1,irrigation,0.10777784891867581,0.14774146409428837,0.03996361517561256,3
