year,crop,model,scenario,lag_config,split,mae,rmse,mape,n_features,params_json
2019,Пшениця,elasticnet,lag_only,L1,validation,0.5331678415786651,0.5331678415786651,9.800879440784287,17,"{""alpha"": 0.1, ""l1_ratio"": 0.8}"
2020,Пшениця,elasticnet,lag_only,L1,validation,0.8720308185954542,0.8720308185954542,20.046685484952974,17,"{""alpha"": 0.1, ""l1_ratio"": 0.8}"
2021,Пшениця,elasticnet,lag_only,L1,validation,0.3375298177436621,0.3375298177436621,6.262148752201522,17,"{""alpha"": 0.1, ""l1_ratio"": 0.8}"
2022,Пшениця,elasticnet,lag_only,L1,test,0.056200383918127095,0.056200383918127095,1.2112151706492909,17,"{""alpha"": 0.1, ""l1_ratio"": 0.8}"
2023,Пшениця,elasticnet,lag_only,L1,test,0.9048222504930363,0.9048222504930363,15.958064382593234,17,"{""alpha"": 0.1, ""l1_ratio"": 0.8}"
2024,Пшениця,elasticnet,lag_only,L1,test,0.9161711979665483,0.9161711979665483,15.878183673597023,17,"{""alpha"": 0.1, ""l1_ratio"": 0.8}"
2019,Пшениця,xgboost,lag_only,L1,validation,0.4369286918640132,0.4369286918640132,8.031777423970832,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100, ""subsample"": 0.8}"
2020,Пшениця,xgboost,lag_only,L1,validation,0.9048098564147953,0.9048098564147953,20.80022658424817,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100, ""subsample"": 0.8}"
2021,Пшениця,xgboost,lag_only,L1,validation,0.6815196418762204,0.6815196418762204,12.644149199929878,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100, ""subsample"": 0.8}"
2022,Пшениця,xgboost,lag_only,L1,test,0.37540279388427766,0.37540279388427766,8.090577454402537,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100, ""subsample"": 0.8}"
2023,Пшениця,xgboost,lag_only,L1,test,0.38347188949584954,0.38347188949584954,6.7631726542477875,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100, ""subsample"": 0.8}"
2024,Пшениця,xgboost,lag_only,L1,test,0.5080461692810063,0.5080461692810063,8.804959606256608,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100, ""subsample"": 0.8}"
2019,Пшениця,lightgbm,lag_only,L1,validation,0.36030259332641723,0.36030259332641723,6.623209436147376,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2020,Пшениця,lightgbm,lag_only,L1,validation,0.803080184479402,0.803080184479402,18.461613436308095,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2021,Пшениця,lightgbm,lag_only,L1,validation,0.03345588765050156,0.03345588765050156,0.6207029248701588,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
