year,crop,model,scenario,lag_config,split,mae,rmse,mape,n_features,params_json
2019,Пшениця,elasticnet,lag_only,L1,validation,0.9063189851221716,0.9063189851221716,18.881645523378577,15,"{""alpha"": 0.1, ""l1_ratio"": 0.8}"
2020,Пшениця,elasticnet,lag_only,L1,validation,0.0551499725350455,0.0551499725350455,1.2310261726572658,15,"{""alpha"": 0.1, ""l1_ratio"": 0.8}"
2021,Пшениця,elasticnet,lag_only,L1,validation,0.1467930760027567,0.1467930760027567,3.03919412013989,15,"{""alpha"": 0.1, ""l1_ratio"": 0.8}"
2022,Пшениця,elasticnet,lag_only,L1,test,0.3909423442315285,0.3909423442315285,9.465916325218608,17,"{""alpha"": 0.1, ""l1_ratio"": 0.8}"
2023,Пшениця,elasticnet,lag_only,L1,test,1.1664589490620938,1.1664589490620938,22.916678763498897,17,"{""alpha"": 0.1, ""l1_ratio"": 0.8}"
2024,Пшениця,elasticnet,lag_only,L1,test,0.06031241311786584,0.06031241311786584,1.2697350130077019,17,"{""alpha"": 0.1, ""l1_ratio"": 0.8}"
2019,Пшениця,xgboost,lag_only,L1,validation,0.6491172790527342,0.6491172790527342,13.523276646931965,15,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100, ""subsample"": 0.8}"
2020,Пшениця,xgboost,lag_only,L1,validation,0.04366304397583054,0.04366304397583054,0.974621517317646,15,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100, ""subsample"": 0.8}"
2021,Пшениця,xgboost,lag_only,L1,validation,0.28092439651489265,0.28092439651489265,5.816240093476038,15,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100, ""subsample"": 0.8}"
2022,Пшениця,xgboost,lag_only,L1,test,0.2528332519531249,0.2528332519531249,6.121870507339586,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100, ""subsample"": 0.8}"
2023,Пшениця,xgboost,lag_only,L1,test,1.6080983543395995,1.6080983543395995,31.5932879045108,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100, ""subsample"": 0.8}"
2024,Пшениця,xgboost,lag_only,L1,test,0.39401865005493164,0.39401865005493164,8.295129474840666,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 4, ""n_estimators"": 100, ""subsample"": 0.8}"
2019,Пшениця,lightgbm,lag_only,L1,validation,0.8347895401426397,0.8347895401426397,17.391448752971662,15,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}"
2020,Пшениця,lightgbm,lag_only,L1,validation,0.134183186092649,0.134183186092649,2.995160403853773,15,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}"
2021,Пшениця,lightgbm,lag_only,L1,validation,0.2636154921291176,0.2636154921291176,5.457877683832662,15,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": -1, ""n_estimators"": 300, ""num_leaves"": 15, ""subsample"": 0.8}"
