crop,model,scenario,lag_config,feature_group,full_mae,ablated_mae,delta_mae,n
Кукурудза,elasticnet,lag_only,L1,yield_history,0.5510105677200992,0.6173893882220778,0.06637882050197863,3
Кукурудза,elasticnet,lag_only,L1,area,0.5510105677200992,0.5510105161334836,-5.1586615534837676e-08,3
Кукурудза,elasticnet,lag_only,L1,fertiliser_n,0.5510105677200992,0.5292469600138446,-0.021763607706254517,3
Кукурудза,elasticnet,lag_only,L1,fertiliser_p,0.5510105677200992,0.5938663327542612,0.042855765034162,3
Кукурудза,elasticnet,lag_only,L1,fertiliser_k,0.5510105677200992,0.6067492851265683,0.055738717406469185,3
Кукурудза,elasticnet,lag_only,L1,mineral_share,0.5510105677200992,0.5510105677200992,0.0,3
Кукурудза,elasticnet,lag_only,L1,organics,0.5510105677200992,0.561810148912636,0.010799581192536878,3
Кукурудза,elasticnet,lag_only,L1,irrigation,0.5510105677200992,0.5314779477175898,-0.019532620002509327,3
Пшениця,elasticnet,lag_only,L1,yield_history,0.5514741959908765,0.5486312643915064,-0.002842931599370102,3
Пшениця,elasticnet,lag_only,L1,area,0.5514741959908765,0.5514874489651428,1.325297426624239e-05,3
Пшениця,elasticnet,lag_only,L1,fertiliser_n,0.5514741959908765,0.6174583827310619,0.06598418674018536,3
Пшениця,elasticnet,lag_only,L1,fertiliser_p,0.5514741959908765,0.46256842211772414,-0.0889057738731524,3
Пшениця,elasticnet,lag_only,L1,fertiliser_k,0.5514741959908765,0.5258391249264109,-0.02563507106446561,3
Пшениця,elasticnet,lag_only,L1,mineral_share,0.5514741959908765,0.4903123459469157,-0.06116185004396085,3
Пшениця,elasticnet,lag_only,L1,organics,0.5514741959908765,0.9148259072108291,0.3633517112199526,3
Пшениця,elasticnet,lag_only,L1,irrigation,0.5514741959908765,0.3759783420188203,-0.17549585397205625,3
Соняшник,xgboost,lag_only,L1,yield_history,0.26101198832194017,0.25924196879069017,-0.00177001953125,3
Соняшник,xgboost,lag_only,L1,area,0.26101198832194017,0.2569107913970948,-0.004101196924845396,3
Соняшник,xgboost,lag_only,L1,fertiliser_n,0.26101198832194017,0.3098160330454509,0.04880404472351074,3
Соняшник,xgboost,lag_only,L1,fertiliser_p,0.26101198832194017,0.24324595451354977,-0.017766033808390397,3
Соняшник,xgboost,lag_only,L1,fertiliser_k,0.26101198832194017,0.25020094235738116,-0.010811045964559007,3
Соняшник,xgboost,lag_only,L1,mineral_share,0.26101198832194017,0.22339005788167313,-0.03762193044026704,3
Соняшник,xgboost,lag_only,L1,organics,0.26101198832194017,0.2573899777730306,-0.0036220105489095933,3
Соняшник,xgboost,lag_only,L1,irrigation,0.26101198832194017,0.23704599380493172,-0.023965994517008454,3
