year,crop,model,scenario,lag_config,split,mae,rmse,mape,n_features,params_json
2019,Пшениця,elasticnet,lag_only,L1,validation,0.3069046099309034,0.3069046099309034,7.377514661800562,17,"{""alpha"": 0.1, ""l1_ratio"": 0.2}"
2020,Пшениця,elasticnet,lag_only,L1,validation,0.34120740746148925,0.34120740746148925,8.979142301618138,17,"{""alpha"": 0.1, ""l1_ratio"": 0.2}"
2021,Пшениця,elasticnet,lag_only,L1,validation,0.3298888395545623,0.3298888395545623,7.282314338952811,17,"{""alpha"": 0.1, ""l1_ratio"": 0.2}"
2022,Пшениця,elasticnet,lag_only,L1,test,0.15947477003693766,0.15947477003693766,4.057882189235055,17,"{""alpha"": 0.1, ""l1_ratio"": 0.2}"
2023,Пшениця,elasticnet,lag_only,L1,test,1.2174317328653514,1.2174317328653514,26.237752863477404,17,"{""alpha"": 0.1, ""l1_ratio"": 0.2}"
2024,Пшениця,elasticnet,lag_only,L1,test,0.2775160850703404,0.2775160850703404,6.046102071249247,17,"{""alpha"": 0.1, ""l1_ratio"": 0.2}"
2019,Пшениця,xgboost,lag_only,L1,validation,0.6124281024932863,0.6124281024932863,14.721829386857843,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}"
2020,Пшениця,xgboost,lag_only,L1,validation,0.4067785263061525,0.4067785263061525,10.704698060688225,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}"
2021,Пшениця,xgboost,lag_only,L1,validation,0.9876718807220453,0.9876718807220453,21.802911274217337,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}"
2022,Пшениця,xgboost,lag_only,L1,test,0.19880563735961942,0.19880563735961942,5.058667617293115,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}"
2023,Пшениця,xgboost,lag_only,L1,test,0.8245202445983884,0.8245202445983884,17.769832857723888,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}"
2024,Пшениця,xgboost,lag_only,L1,test,0.6981097126007079,0.6981097126007079,15.209361930298645,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100, ""subsample"": 0.8}"
2019,Пшениця,lightgbm,lag_only,L1,validation,1.252761541696057,1.252761541696057,30.114460136924443,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
