year,crop,baseline,scenario,split,y_true,y_pred,mae,rmse,mape,order
2019,Пшениця,naive_lag1,lag_only,validation,4.16,3.7299999999999995,0.4300000000000006,0.4300000000000006,10.336538461538476,
2019,Пшениця,forecast_linear,trend,validation,4.16,4.389166666666654,0.22916666666665364,0.22916666666665364,5.50881410256379,
2019,Пшениця,linest_lag_only,lag_only,validation,4.16,3.789603759793066,0.3703962402069343,0.3703962402069343,8.90375577420515,
2019,Пшениця,arima,trend,validation,4.16,3.73,0.43000000000000016,0.43000000000000016,10.336538461538465,"(0, 1, 0)"
2020,Пшениця,naive_lag1,lag_only,validation,3.8,4.16,0.3600000000000003,0.3600000000000003,9.473684210526324,
2020,Пшениця,forecast_linear,trend,validation,3.8,4.460666666666668,0.6606666666666685,0.6606666666666685,17.385964912280752,
2020,Пшениця,linest_lag_only,lag_only,validation,3.8,4.7782405549420215,0.9782405549420217,0.9782405549420217,25.743172498474255,
2020,Пшениця,arima,trend,validation,3.8,4.16,0.3600000000000003,0.3600000000000003,9.473684210526324,"(0, 1, 0)"
2021,Пшениця,naive_lag1,lag_only,validation,4.529999999999999,3.8,0.7299999999999995,0.7299999999999995,16.11479028697571,
2021,Пшениця,forecast_linear,trend,validation,4.529999999999999,4.371090909090924,0.15890909090907535,0.15890909090907535,3.507926951635218,
2021,Пшениця,linest_lag_only,lag_only,validation,4.529999999999999,2.982060266316843,1.5479397336831564,1.5479397336831564,34.1708550481933,
2021,Пшениця,arima,trend,validation,4.529999999999999,3.8,0.7299999999999995,0.7299999999999995,16.11479028697571,"(0, 1, 0)"
2022,Пшениця,naive_lag1,lag_only,test,3.9299999999999997,4.529999999999999,0.5999999999999996,0.5999999999999996,15.267175572519076,
2022,Пшениця,forecast_linear,trend,test,3.9299999999999997,4.5446969696969575,0.6146969696969578,0.6146969696969578,15.641144267098161,
2022,Пшениця,linest_lag_only,lag_only,test,3.9299999999999997,5.379988282803964,1.4499882828039645,1.4499882828039645,36.895376152772634,
2022,Пшениця,arima,trend,test,3.9299999999999997,4.132425824994981,0.20242582499498152,0.20242582499498152,5.150784351017341,"(1, 1, 0)"
2023,Пшениця,naive_lag1,lag_only,test,4.64,3.9299999999999997,0.71,0.71,15.301724137931036,
2023,Пшениця,forecast_linear,trend,test,4.64,4.482307692307671,0.15769230769232845,0.15769230769232845,3.3985411140588027,
2023,Пшениця,linest_lag_only,lag_only,test,4.64,2.8328968750409054,1.8071031249590943,1.8071031249590943,38.94618803791152,
2023,Пшениця,arima,trend,test,4.64,4.292559411028487,0.3474405889715131,0.3474405889715131,7.487943727834335,"(1, 1, 0)"
2024,Пшениця,naive_lag1,lag_only,test,4.59,4.64,0.04999999999999982,0.04999999999999982,1.0893246187363796,
2024,Пшениця,forecast_linear,trend,test,4.59,4.63384615384615,0.043846153846150315,0.043846153846150315,0.9552538964302901,
2024,Пшениця,linest_lag_only,lag_only,test,4.59,4.888388783201718,0.2983887832017178,0.2983887832017178,6.500844949928493,
2024,Пшениця,arima,trend,test,4.59,4.162872344383982,0.42712765561601795,0.42712765561601795,9.305613412113681,"(1, 1, 0)"
2019,Кукурудза,naive_lag1,lag_only,validation,7.19,7.840000000000001,0.6500000000000004,0.6500000000000004,9.0403337969402,
2019,Кукурудза,forecast_linear,trend,validation,7.19,7.117500000000007,0.07249999999999357,0.07249999999999357,1.0083449235047786,
