scenario,model,crop,lag_config,mae,rmse,mape,n
in_season,elasticnet,Кукурудза,L1,0.669615384615384,0.669615384615384,8.927378303556623,3
in_season,elasticnet,Пшениця,L1,0.3854651409671194,0.3854651409671194,8.522841235260048,3
in_season,elasticnet,Соняшник,L1,0.17829059829059846,0.17829059829059846,7.564902770050584,3
in_season,lightgbm,Кукурудза,L1,0.9191607936446115,0.9191607936446115,13.028779964018414,3
in_season,lightgbm,Пшениця,L1,0.2965901046434043,0.2965901046434043,6.703375029461838,3
in_season,lightgbm,Соняшник,L1,0.29121658162287534,0.29121658162287534,13.311048529186287,3
in_season,xgboost,Кукурудза,L1,0.6610118103027345,0.6610118103027345,9.290025417127426,3
in_season,xgboost,Пшениця,L1,0.32128760337829565,0.32128760337829565,7.108170340595531,3
in_season,xgboost,Соняшник,L1,0.22541915893554684,0.22541915893554684,9.977060414020594,3
lag_only,elasticnet,Кукурудза,L1,0.5510105677200992,0.5510105677200992,7.418184294159712,3
lag_only,elasticnet,Пшениця,L1,0.5514741959908761,0.5514741959908761,12.113912374653893,3
lag_only,elasticnet,Соняшник,L1,0.45748753891487404,0.45748753891487404,19.550156643475216,3
lag_only,lightgbm,Кукурудза,L1,0.8364853038276975,0.8364853038276975,12.40987407186175,3
lag_only,lightgbm,Пшениця,L1,0.8405594790055533,0.8405594790055533,18.60125972143349,3
lag_only,lightgbm,Соняшник,L1,0.39358126386661624,0.39358126386661624,17.220617996760243,3
lag_only,xgboost,Кукурудза,L1,0.7635909271240235,0.7635909271240235,10.962545838042367,3
lag_only,xgboost,Пшениця,L1,0.5738118648529053,0.5738118648529053,12.67928746843855,3
lag_only,xgboost,Соняшник,L1,0.26101198832194017,0.26101198832194017,11.362558543505884,3
