year,crop,model,scenario,lag_config,split,mae,rmse,mape,n_features,params_json
2019,Пшениця,elasticnet,lag_only,L1,validation,0.08653006937600605,0.08653006937600605,1.5675737205798197,17,"{""alpha"": 0.1, ""l1_ratio"": 0.5}"
2020,Пшениця,elasticnet,lag_only,L1,validation,1.048350940248051,1.048350940248051,24.551544268104237,17,"{""alpha"": 0.1, ""l1_ratio"": 0.5}"
2021,Пшениця,elasticnet,lag_only,L1,validation,0.602850408366546,0.602850408366546,10.823167116095979,17,"{""alpha"": 0.1, ""l1_ratio"": 0.5}"
2022,Пшениця,elasticnet,lag_only,L1,test,0.42855069141375957,0.42855069141375957,10.634012193889818,17,"{""alpha"": 0.1, ""l1_ratio"": 0.5}"
2023,Пшениця,elasticnet,lag_only,L1,test,1.3165414405942233,1.3165414405942233,22.896372879899534,17,"{""alpha"": 0.1, ""l1_ratio"": 0.5}"
2024,Пшениця,elasticnet,lag_only,L1,test,0.9412175622347174,0.9412175622347174,17.333656763070305,17,"{""alpha"": 0.1, ""l1_ratio"": 0.5}"
2019,Пшениця,xgboost,lag_only,L1,validation,0.3132162284851079,0.3132162284851079,5.674207037773693,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}"
2020,Пшениця,xgboost,lag_only,L1,validation,1.2500891494750972,1.2500891494750972,29.27609249356199,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}"
2021,Пшениця,xgboost,lag_only,L1,validation,0.2586048316955569,0.2586048316955569,4.642815649830466,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}"
2022,Пшениця,xgboost,lag_only,L1,test,1.3060681533813483,1.3060681533813483,32.408639041720804,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}"
2023,Пшениця,xgboost,lag_only,L1,test,0.5057501792907715,0.5057501792907715,8.795655292013418,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}"
2024,Пшениця,xgboost,lag_only,L1,test,1.4568344879150388,1.4568344879150388,26.829364418324843,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 2, ""n_estimators"": 300, ""subsample"": 0.8}"
2019,Пшениця,lightgbm,lag_only,L1,validation,0.6283427744069021,0.6283427744069021,11.383021275487357,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2020,Пшениця,lightgbm,lag_only,L1,validation,1.216527624018486,1.216527624018486,28.490108290831053,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2021,Пшениця,lightgbm,lag_only,L1,validation,1.1218747551298982,1.1218747551298982,20.14137800951343,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2022,Пшениця,lightgbm,lag_only,L1,test,1.3961029575765158,1.3961029575765158,34.64275328973985,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2023,Пшениця,lightgbm,lag_only,L1,test,0.2765712130958091,0.2765712130958091,4.80993414079668,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2024,Пшениця,lightgbm,lag_only,L1,test,1.138071749542969,1.138071749542969,20.958964079981016,17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": -1, ""n_estimators"": 100, ""num_leaves"": 15, ""subsample"": 0.8}"
2019,Пшениця,elasticnet,in_season,L1,validation,0.8766666666666669,0.8766666666666669,15.881642512077299,43,"{""alpha"": 1.0, ""l1_ratio"": 0.8}"
2020,Пшениця,elasticnet,in_season,L1,validation,0.4609999999999994,0.4609999999999994,10.796252927400452,43,"{""alpha"": 1.0, ""l1_ratio"": 0.8}"
2021,Пшениця,elasticnet,in_season,L1,validation,0.8809090909090909,0.8809090909090909,15.815244001958542,43,"{""alpha"": 1.0, ""l1_ratio"": 0.8}"
2022,Пшениця,elasticnet,in_season,L1,test,0.7325000000000008,0.7325000000000008,18.17617866004965,43,"{""alpha"": 1.0, ""l1_ratio"": 0.8}"
2023,Пшениця,elasticnet,in_season,L1,test,1.043846153846153,1.043846153846153,18.15384615384614,43,"{""alpha"": 1.0, ""l1_ratio"": 0.8}"
2024,Пшениця,elasticnet,in_season,L1,test,0.6492857142857131,0.6492857142857131,11.957379636937628,43,"{""alpha"": 1.0, ""l1_ratio"": 0.8}"
